,Masechet,Daf,Line,Masechet,Comment
1265,Pesachim,114,3,יומא,ובזיכין בשבע - דבעי לאחרינהו דבמוספין כתיב יום ובבזיכין כתיב ביום ביום תרי זימני ומהכא ילפינן טעמא דאמר מוספין קודמין לבזיכין במסכת יומא (שם) מדכתב בה ביום השבת ביום השבת תרי זימני לאחר ועבדינן ליה בשבע ומחצה והוא הדין דמצי למיעבדיה בתחלת ח' אלא חדא דשמא אין חילוק לחם הפנים כלה בסוף שבעה ועוד כל הני זימני לא משנינן ליה אלא בשש ומחצה כדיניה או בשבע ומחצה כשאר ערבי פסחים:
1266,Pesachim,114,2,שבת,בחול דעלמא - כל ימות השנה דהיינו בשמונה ומחצה כך סידרו בשבת בערב הפסח דלא מקדמינן לי' למהר שחיטת הפסחים אחריו דהואיל ואינו יכול לצלותו עד שתחשך חיישינן שמא יתחמם בשר הפסח ויסריח:
1267,Pesachim,115,0,שבת,אי לא חייש ניעבדיה בשש ומחצה - דהא הפסחים מרובין ובשבת לא בעי לאיחוריה משום נדרים ונדבות:
1268,Pesachim,115,1,שבת,כך סידרו - בשבתות של כל השנה ואף על גב דליכא נדרים ונדבות חיישינן לסרך נדרים דחול דילמא אתו למיסרך ולמיעבד בחול נמי בשבע ומיפסלי נדרים ונדבות של אחריו:
1269,Pesachim,115,1,שבת,דברי הכל היא - דר' ישמעאל ורבי עקיבא לא איירי בערב פסח כלל וכמתניתין סבירא להו בין בחול בין בשבת:
1270,Pesachim,115,0,שבת,כחל להיות בשני בשבת - ערב הפסח שהתמיד נשחט בשבע ומחצה:
1271,Pesachim,115,1,שבת,"בשני בשבת - חד מימות החול נקט ואית דאמרי יומא קמא דשבתא דחזי לארביסר נקט וחד בשבתא לא חזי לארביסר דלא בד""ו פסח ולאו מילתא היא שהרי על פי הראייה היו מקדשין:"
1272,Pesachim,115,0,שבת,"בשלמא לאביי ניחא - דמדקאמר רבי ישמעאל חל להיות בשבת כחל להיות בשני בשבת על כרחך כסידרו ערב הפסח דקאמר ר""ע בע""פ שחל להיות בע""ש קאמר:"
1273,Pesachim,115,1,שבת,אלא לרבא - דקאמר רבי ישמעאל למיכמר בישרא חייש וכסידרו בחול בעלמא קאמר הא קתני הכא כחל להיות בשני בשבת:
1274,Pesachim,115,2,שבת,אלא אימא כשני בשבת - שאינו ערב הפסח דהיינו בשמונה ומחצה דחיישינן למיכמר בישרא:
1276,Pesachim,116,1,תמיד,אין לך כל דבר באשים קודם לתמיד של שחר אלא קטורת שנאמר בה בפרשת ואתה תצוה בבקר בבקר ובתמיד לא כתיב אלא חד בקר:
1277,Pesachim,116,0,זבחים,"מעלה ומלינה בראש המזבח - כדכתיב והקריבו לפני ה' וכפר עליה ולמחר יקטירנה לאחר תמיד של שחר ולינה אינה פוסלת בראש המזבח כדאמר בזבחים בפ' המזבח מקדש (זבחים דף פז.) לד""ה דלא ירדו:"
1279,Pesachim,117,0,יומא,דסברי דיומא היא - כשמקטירים כל הלילה אברים שניתותרו מקרבנות שנשחטו ונזרק דמן קודם לתמיד ויראו את האברים הללו יהו סבורין שגם אלה ניתותרו וראויין להקטירם היום ויקטירם ועברי אעשה דהשלמה:
1280,Pesachim,117,1,זבחים,או קיבל או הלך או זרק שלא לשמו - שבארבע עבודות הללו הפסח נפסל במחשבתן אם לפסול אם לפגל כדיליף בשמעתא קמייתא דזבחים (דף ד.):
1281,Pesachim,117,0,תמורה,"גמ' בעבודה אחת תנן - וחישב בה לשמו ושלא לשמו ואפ""ה קתני פסול ור' יוסי היא דאמר במסכת תמורה (דף כה.) אף בגמר דבריו אדם נתפס דבוק:"
1282,Pesachim,117,0,תמורה,"דאי ר' מאיר האמר תפוס לשון ראשון - במסכת תמורה (ג""ז שם) גבי האומר הרי זו תמורת עולה תמורת שלמים ר""מ אומר הרי זו תמורת עולה ר' יוסי אומר דבריו קיימים ותרעה עד שתומם ותמכר ויביא בדמי חציה עולה ובדמי חציה שלמי':"
1283,Pesachim,118,1,שחיטת קדשים,"והיינו בעיא דרב פפא - דאמר מחשבים מעבודה לעבודה בשחיטת קדשים בפ""ק (ד' י) דאמרינן התם מתקיף לה רב פפא דילמא הא קמ""ל דמחשבין מעבודה לעבודה:"
1284,Pesachim,119,0,זבחים,שינוי בעלים פוסל - בפסח בזמנו לגמרי וכן בחטאת ובשאר זבחים מונען מלעלות לשם חובה וכל תורת שינוי קודש עליהן בשמעתא קמייתא דזבחים:
1285,Pesachim,119,1,זבחים,"וישנו בארבע עבודות - שחט או קיבל דמו (או זרק או הלך) שלא לשמו פסול דבכל ארבע עבודות דם ילפינן ליה לפוסלה בפ""ק דזבחים (ד' ז.) שחיטה מזבח פסח שתהא זביחתו לשם פסח ושאר עבודות מועשית פסח שיהו כל עשיותיו לשם פסח:"
1286,Pesachim,120,1,זבחים,"אבל בשינוי בעלים - מחשב בדבר אחר הוא ואינו בארבע עבודות בשאר זבחים דלאו פסח דלאו עיקרן לאכילה אתי אלא לכפרה לא שייך שינוי בעלים אלא בזריקה שאין לו בקרבן אלא כפרתו וכפרה ליתא אלא בזריקה וכי מרבינן שאר עבודות לפוסלה בשינוי בעלים בפ""ק דזבחים לא מרבינן אלא שוחט להתכפר אחר בזריקת דמו או מוליך או מקבל לזרוק לשם אחר או זרק ממנו לשם אחר אבל שוחט לשם אחר שתהא השחיטה לבדה לשם אחרים אבל בשעת שחיטה אין דעתו על הזריקה אלא לבעליו כשר והכי אמרי' התם אמר רב אשי ק""ו ומה אם במקום שאמר הריני שוחט לשם פלוני דכשר שחטו לזרוק לשם פלוני פסול מקום שאם אמר כו' ש""מ מיהא דאין מחשבת שינוי בעלים בשאר עבודות אא""כ מחשבין באחת מהן על מנת לזרוק אבל בשינוי קודש שחט שלא לשמו פסול דכתיב זבח שלמים זביחה לשם שלמים וכן בחטאת ושחט אותה לחטאת וכן פסח זבח פסח הוא ומיהו ודאי פסח שעיקרו לבעליו ליאכל בא שחטו שלא לשם בעליו להאכילו למנויין אחרים פסול כדקתני מתני' שחטו שלא למנויו פסול וע""כ בחישב על השחיטה לחודא קאמר לא על מנת לזרוק מדאיפלגו בה אמוראי בגמרא שחטו למולין על מנת שיתכפרו בו ערלים מכלל דשחטו לערלים דמתניתין במחשב על השחיטה קאמר ושלא למנויו דומיא דלערלים דהא גבי הדדי קתני להו:"
1287,Pesachim,120,0,זבחים,"ולרב פנחס - בפ""ק דזבחים אמרה:"
1288,Pesachim,121,0,זבחים,וזמן פוסל - שחטו על מנת לאכול הימנו כזית חוץ לזמנו נעשה כולו פיגול והיינו מקצת זמן שלא חישב אלא על כזית הימנו כדכתיב אם האכל יאכל וגו' ותניא בתורת כהנים ובזבחים (דף כט.) כוף אזנך לשמוע במחשב לאכול מזבחו ביום השלישי הכתוב מדבר וכתיב האכל יאכל אכילה בכזית: 
1289,Pesachim,121,0,יבמות,ערלה לא הותרה מכללה - שאין שום קרבן נאכל לערלים דילפינן ביבמות (דף עג.) דערל אסור בקדשים דאתי בקל וחומר מפסח הקל וזמן נמי לא הותר לשום קרבן לאוכלו חוץ לזמנו וטומאה הותרה מכללה כדמפרש לקמן הפסח שבא בטומאה נאכל בטומאה:
1291,Pesachim,122,2,פסחים,לחומרא - לפסול בפסחים:
1292,Pesachim,123,2,זבחים,"ר' אליעזר פוסל - טעמא מפרש בפ""ק דזבחים ומה פסח שמותרו בא שלמים שחטו לשם שלמים בזמנו פסול שלמים שאין מותרן בא פסח שחטן לשם פסח בזמן פסח אינו דין שפוסל:"
1293,Pesachim,123,0,זבחים,"שלא בזמנו שהוא כשר לשם אחרים - דנפקא לן לקמן (פסחים דף ע:) מוזבחת פסח צאן ובקר דפסח שניתותר לאחר הפסח קרב שלמים ואף קודם הפסח נמי נפקא לן בפ""ק דזבחים מקרא אחרינא מואם מן הצאן קרבנו לזבח שלמים דבר הבא מן הצאן דהיינו פסח יהא לזבח שלמים:"
1294,Pesachim,124,0,זבחים,"וכדרבא - בפ""ב דזבחים:"
1295,Pesachim,124,0,מנחות,"ור' מאיר לטעמיה דאמר - במנחות מפגלין בחצי מתיר דתנן פיגל בקומץ ולא בלבונה בלבונה ולא בקומץ כלומר חישב בהקטרת האחד על מנת לאכול מן השיריים למחר ר""מ אומר פיגול וחכ""א אין בו כרת עד שיפגל בכל המתיר:"
1296,Pesachim,124,4,זבחים,חוץ מן החטאת ששחטה שלא לשמה - דפסולה היא כדתנן בזבחים (שם) חוץ מן הפסח והחטאת וטעמא משום דכתיב בשחיטה חטאת היא מעוטא היא ולא הנשחטת שלא לשמה:
1297,Pesachim,125,1,מנחות,לחמי תודה - משהוקדשו בפה קדשו קדושת דמים ליאסר באכילה ובהנאה אבל לא קדשו קדושת הגוף ואם נטמאו נפדין ויוצאין לחולין ושחיטת הזבח מקדשתן לגופן להיות נפסלין בטבול יום ובמגע מחוסר כפורים ובלינה ואם נטמאו ישרפו כדכתיב על זבח התודה חלות ואמר מר במנחות קרבנו על זבח מלמד שאין הלחם קרוי קרבן אלא בזביחה:
1298,Pesachim,126,0,שבת,אלא שהכהנים מדיחין העזרה - שאמת המים מהלכת בעזרה וכשהן רוצין להדיח העזרה פוקקין את נקב יציאתה והמים פושטין והולכין על גדותיה ומדיחין את כל העזרה שרצפה של שיש היתה כולה ואחר כך פותחין הנקב והמים יוצאים ובערב הפסח מתוך שהדמים מרובים היו מדיחין אותה והכהנים היו מדיחין אותה בשבת שלא ברצון חכמים:
1299,Pesachim,127,0,שבת,שחל להיות בשבת - ואינו יכול לתקן המקלות:
1300,Pesachim,127,0,שבת,וישבה לה בהר הבית - בשבת קאמר שלא היו יכולין להוליך פסחיהן לבתיהן:
1301,Pesachim,127,0,עדיות,חס ושלום כו' - במסכת עדיות תנן ארבעה דברים העיד עקביא בן מהללאל כו' וקתני התם הוא היה אומר אין משקין לא את הגיורת ולא את המשוחררת אמרו לו מעשה בכרכמית שפחה שהיתה בירושלים והשקוה שמעיה ואבטליון אמר להם דוגמא השקוה דומין לה היו אותן שהשקוה ונידוהו אמר רבי יהודה חס ושלום שעקביא נתנדה שאין עזרה ננעלת כו' כשהיתה ננעלת על כל אדם בערבי פסחים שהקהל גדול ורב אין בהם אחד בחכמה וביראת חטא כעקביא:
1305,Pesachim,128,2,כריתות,באזהרה - בלאו ולא כרת דכתיב כי נפש כל בשר דמו בנפשו הוא וגו' עד כל אוכליו יכרת יצא דם התמצית שאינו דם הנפש ובמסכת כריתות מפרש טעמא חמשה לאוין כתיבי בדם ומייתיר חד לדם התמצית:
1307,Pesachim,129,0,זבחים,והא קא הוי חציצה - בין רגליהן לרצפה דתנן בזבחים (ד' טו:) עומד על הכלי או על גבי רגל חבירו פסול דבעינן לעמוד לשרת ואין זה עמידה:
1309,Pesachim,129,0,"שבת, אבות, חולין","שחיטה שהיא - אסורה בחולין בשבת משום איסור מלאכה גמורה שהרי באבות מלאכות היא מנויה ואעפ""כ דוחה את השבת בפסח:"
1310,Pesachim,129,1,שבת,"הזאה תוכיח שהיא מצוה - בטמא מת שחל שביעי שלו להיות בשבת ערב פסח שאם לא יזה לא יעשה פסחו ואפ""ה אינו דוחה דהכי שמעינן ליה לרבי עקיבא דלא דחיא והזאה שבות הוא דמאי מלאכה היא אלא מתחזי כמתקן גברא:"
1311,Pesachim,130,0,תמיד,מה מועדו הנאמר בתמיד - ולקמיה פריך תמיד גופיה מנא להו:
1312,Pesachim,130,0,שבת,למחר - בארבעה עשר בשבת:
1313,Pesachim,130,0,תמיד,פסח נמי כתיב ביה במועדו - ולא שמעת לי' מיניה ומתמיד ילפת ליה אלא על כרחיך מדבעית למילף מתמיד לא משתמע להו דחיית שבת דאמרי במועדו דקאמר בזמן התירא קאמר הכא בתמיד נמי לא משמע להו ומנא ליה:
1314,Pesachim,130,0,שבת,אלא אמר קרא - במוספין עולת שבת בשבתו על עולת התמיד לבד מעולת התמיד אלמא תמיד נמי דחי:
1315,Pesachim,131,0,"שבת, ביצה",דתנן לא מקדישין וכו' - במסכת ביצה והיאך הקדישו פסחיהן אלו בשבת:
1316,Pesachim,131,2,שבת,פסחו - ליכא למימר ביום טוב דאין פסח קרב ביום טוב וחגיגה ליכא למימר בשבת:
1318,Pesachim,133,0,מגילה,זב נמי מטמא באונס - כגון בראיה ראשונה שאין בה אלא טומאת ערב דאיתקש לשכבת זרע דכתיב (ויקרא ט״ו:ל״ב) זאת תורת הזב ואשר תצא ממנו שכבת זרע והיינו ראיה ראשונה דלא מנה ביה בהאי קרא אלא חדא זיבה דאזלינן בתר מניינא דקרא כדאמרינן במגילה (ד' ח.) מנה הכתוב שתים וקראו טמא כו':
1319,Pesachim,133,2,מועד קטן,"ואסור בתשמיש המטה - כדכתיב (ויקרא י״ד:ח׳) וישב מחוץ לאהלו ואין אהלו אלא אשתו למאן דאמר במועד קטן (ד' ז:) ק""ו לימי חלוטו איכא חומרא טובא ולמאן דאמר ימי ספרו דוקא אפ""ה חומרא מיהא היא דאילו זב לא מיתסר מידי בתשמיש:"
1320,Pesachim,133,1,נדה,במשהו - כעין חרדל ובפחות מכאן במסכת נדה (ד' מ:) ומצורע שיעורו כגריס בתורת כהנים:
1321,Pesachim,133,0,נדה,כחתימת פי האמה - כדי סתימת נקב פי אמתו ויליף לה מהחתים בשרו את זובו במסכת נדה (דף מג:):
1322,Pesachim,135,0,שבת,"כשירין כל הלילה - כדכתיב (ויקרא ו׳:ב׳) על מוקדה על המזבח כל הלילה ויכול להקטירן כל הלילה ואע""פ כן אין ממתינין להם עד שתחשך אלא מחללין שבת עליהן כדכתיב (במדבר כ״ח:י׳) עולת שבת בשבתו על עולת התמיד אלמא חביב למהר מצוה בשעתה:"
1323,Pesachim,135,0,"שבת, עירובין",הא והא ביד - שחותכה בידו ולא בסכין דאין בה אלא משום שבות ואפילו הכי אסור בלחה הואיל ומצי למיעבד מאתמול וההיא דעירובין ביבשה דאפילו שבות ליכא וכר' אליעזר לא מצי לאוקמא לההיא דעירובין ונימא ר' אליעזר היא דאמר במתני' דוחין משום דקתני התם ואם בכלי דהוי מלאכה גמורה כאן וכאן אסור ואי ר' אליעזר היא הא אמר מכשירי מצוה דוחין את השבת אפילו במלאכה גמורה במסכת שבת (דף קל.) דתנן ר' אליעזר אומר אם לא הביא כלי מערב שבת מביאו בשבת:
1325,Pesachim,135,0,עירובין,מאי טעמא לא אמר הא ביד הא בכלי - ונוקמא למתני' דעירובין נמי בלחה:
1326,Pesachim,135,1,"עירובין, פסחים",הא קתני התם - בעירובין דאסור ולמה לי למיהדר למסתמא הכא בפסחים:
1327,Pesachim,135,0,יומא,כל האוכל ושותה כו' - בפ' בתרא דיומא מוקמינן להא דרשא אליבא דמאן דאמר אין אדם מוזהר על תוספת עינוי להתחיל ולהתענות מבעוד יום ואפילו למאן דאית ליה מוסיפין מחול על קודש מקרא אחרינא נפקא ליה מבחריש ובקציר תשבות הילכך כי אתא האי בתשעה להכי אתא והכי קאמר מה שאתם עושים בתשעה דהיינו אכילה ושתיה אני קורא עינוי:
1328,Pesachim,136,2,שבת,מחמין לו חמין - בשבת קודם מילה:
1329,Pesachim,137,0,שבת,"אם כן - דטמא מת שחל שביעי שלו בערב הפסח בשבת שוחטין וזורקין עליו ואע""פ שאין סופו להזות היום:"
1330,Pesachim,138,0,נדרים,"יוצא בו משום שמחה - אם עיכבה עד למחר ושחטה יוצא בה משום שמחה משום שלמי שמחה ואע""ג שמופרשת ועומדת היא כבר ושלמי שמחה חובה הן והא דקי""ל (לקמן פסחים דף עא.) כל דבר שבחובה אינו בא אלא מן החולין כדתניא בסיפרי וזבחת פסח כו' עד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים א""כ למה נאמר בקר להקיש כל הבא מצאן ובקר לפסח מה פסח דבר שהוא חובה ואינו בא אלא מן החולין אף כאן שהוא חובה ואינו בא אלא מן החולין הני מילי בחובות דעלמא אבל שלמי שמחה איתרבי במס' חגיגה (דף ח.) מדתניא בסיפרי ושמחת לרבות כל מיני שמחה יכול אף בעופות ומנחות תלמוד לומר בחגך מי שחגיגה באה מהן יצאו עופות מכאן אמרו ישראל יוצאים ידי חובתן בנדרים ונדבות כו' אע""ג דמחויב ועומד הוא:"
1331,Pesachim,138,0,שבת,שבא - ערב הפסח בשבת דאין חגיגה באה עמו הלכך לא צריכה לבעלים בארבעה עשר:
1332,Pesachim,138,0,"שבת, ביצה","חל ארבעה עשר להיות בשבת שוחט - בקופיץ זה מיד ואין צריך להטביל דאע""ג דשמא בעלים היה להן סכין לשחוט ולא היתה קופיץ זו להן אלא לשבירת עצמות והיום אין שבירת העצם בשבת אפילו הכי כיון דצריכה להן ביום טוב אחר שבת כבר הטבילוה מערב שבת דהא בשבת לא מצו לאטבולה כדאמרינן במסכת ביצה (ד' יז:) חל יום טוב להיות אחר שבת מטבילין את הכל מלפני השבת:"
1333,Pesachim,138,5,שבת,לאו בשבת עסקינן - דאם לא כן קשיא רישא אסיפא ואפילו הכי קאמר דאין בו שבירת עצמות אלמא אסור לשבור עצמות בחגיגת ארבעה עשר:
1334,Pesachim,139,0,שבת,"כגון שחל י""ט הראשון של חג להיות בשבת - דמטי נמי שמיני עצרת בשבת דאין כאן אלא ששה:"
1335,Pesachim,140,1,שבת,שחל יום טוב בשבת - ומבערב אין יכול לשחוט דהא בשעת שמחה בעית:
1336,Pesachim,140,0,שבת,חי נאכלין - אם בא לאוכלו בשבת לא יאכלנו כי אם חי דאין צלייתו ובישולו דוחה שבת ובשר חי אין כאן שמחה:
1337,Pesachim,141,0,שבת,מתני' הפסח ששחטו בשבת שלא לשמו - וכסבור כשם שמותר לשמו כך מותר שלא לשמו:
1338,Pesachim,141,1,שבת,אם אינן ראויין - לפסח כגון עגל או איל בן שתי שנים או נקבה חייב עליו חטאת אם נעלמה ממנו שבת או כסבור שמותר לשחוט אחרים לשם פסח בשבת דהאי לאו טועה בדבר מצוה הוא דהכל יודעין שאין זה כשר לפסח:
1339,Pesachim,141,0,שבת,מה אם פסח שמותר - לשוחטו בשבת לשמו שינה את שמו מודית לי דחייב חטאת כדקתני לעיל:
1340,Pesachim,141,1,שבת,ששינה בדבר האסור - ששחטו לשם קרבנות אחרים שאסורין לשוחטן בשבת:
1341,Pesachim,141,2,שבת,ששינן בדבר המותר - ששחטן לשם פסח שמותר לשוחטו בשבת:
1342,Pesachim,141,0,שבת,אימורי ציבור - קרבנות האמורין בציבור בשבת כגון תמידין ומוספין יוכיחו שמותרין לשוחטן לשמן והשוחט שאר זבחים לשמן בשבת חייב:
1343,Pesachim,141,0,שבת,שחטו בשבת שלא לאוכליו - דפסח פסול הוא ונעלמה ממנו שבת או כסבור שכשר:
1344,Pesachim,141,2,תמיד,לאוכליו ושלא לאוכליו וכו' פטור - דהא פסח כשר הוא כדתנן בתמיד נשחט (ד' סא.) דמקצת אוכלין לא פסלי:
1345,Pesachim,142,0,שבת,תינוקות דיש להן קצבה - מי שיש לו שני תינוקות אחד למול בשבת ואחד למול באחד בשבת יודע הוא שאין לו למול בשבת אלא אחד:
1346,Pesachim,142,1,שבת,ושכח ומל את של אחר השבת בשבת חייב - דטעה בדבר מצוה ולא עשה מצוה הוא דעדיין לא הגיע זמנו ומודה רבי יהושע דחייב:
1347,Pesachim,142,0,שבת,את של ערב שבת בשבת - קסבור שהוא של שבת וזה של ערב שבת היה אתמול חולה או שנאנס ומילה שלא בזמנה אינה דוחה את השבת דהואיל ועבר זמנה ימתין עד למחר:
1348,Pesachim,142,0,שבת,הכא במאי עסקינן כגון שקדם ומל את של ערב שבת בשבת - בשעה שמל את זה עדיין שניהן עומדים דמשום הכי פטור דטרוד היה באחד מהן דיודע הוא שהיום חובת האחד עליו ומתני' כגון דקדים ושחטינהו לאימורי צבור דהשתא לא הוה טרוד ועסוק בשחיטתן:
1349,Pesachim,142,2,שבת,"ושכח ומל את של ערב שבת בשבת דחייב - ואע""ג דעשה מצוה:"
1350,Pesachim,143,0,כתובות,עונה - לפי מה שהוא חמר או גמל או טייל או תלמיד כדמפרש בכתובות (דף סא:):
1351,Pesachim,143,1,שבועות,ומשני בסמוך לווסתה - דמוזהרין ישראל לפרוש מנשותיהן סמוך לזמן ווסת נדותיהן כדאמרינן בשבועות (דף יח:) והזהרתם את בני ישראל והדוה בנדתה מכאן אזהרה לבני ישראל שיהו פורשין מנשותיהן כו':
1352,Pesachim,143,0,זבחים,דזבחים - דפטור במתני' בשוחט לשם פסח משום דטעה בדבר מצוה ועשה מצוה:
1353,Pesachim,144,0,תמיד,פשיטא כיון דהתם - בתמיד נשחט (דף סא.) תנן דפסח שלא לאוכליו פסול:
1354,Pesachim,144,1,שבת,הכא - דבשבת קאי ממילא שמעינן דחייב: 
1355,Pesachim,144,1,שבת,מקלקל בחבורה - העושה חבורה בשבת לקלקלה שאינו מתקן פטור ואין חובל חייב משום שבת אלא שוחט שמתקן או חובל בבהמה וצריך לדם להאכילו לכלבו:
1357,Pesachim,145,0,תמיד,אלא אי אמרת לא בעי עקירה - וסתמיה שלמים הוא פסולו מחמת מאי הוי הואיל ושלמים הוא משום דנשחט אחר תמיד בין הערבים דשחיטת פסח אחר התמיד היא כדאמר בתמיד נשחט (דף נט:) ועבר על עשה דהשלמה:
1358,Pesachim,145,0,תמיד,ולר' חייא בר גמדא - דאמר בתמיד נשחט (דף סד.) גבי מתניתא דקתני התם דפסח בעי עקירה ואוקמה כגון שהיו בעלים טמאי מתים כו':
1359,Pesachim,145,1,שבת,אם יש שהות ביום - לזה ששחט פסח זה בשבת לבדוק אם מתו בעלים כו' ולא שאל לא טועה בדבר מצוה הוא אלא שוגג וחייב שוגג קרי את הקרוב לפושע:
1360,Pesachim,145,2,שבת,ותעובר צורתו - אם הוא חול דאילו בשבת לא אצטריך ליה דהא בשבת לא שריף ליה ולמחר ביום טוב נמי לא שריף ליה:
1361,Pesachim,148,1,סנהדרין,בני אהרן שריפת נשמה וגוף קיים הוא - בסנהדרין (דף נב.) כמין ב' חוטין של אש נכנסו להן בחוטמיהן:
1362,Pesachim,151,0,"ע""ז","אמר לך רב דכולי עלמא ריחא מילתא - וטעמא דרבי יהודה משום דפת צוננת (ותבית) מגופה היא ולא עייל בה ריחא דמי לאו איתמר עלה כו' ואע""ג דקיימי תנאי כוותיה דרב הילכתא כוותיה דלוי דהא איפליגו בה אביי ורבא גבי בת תיהא במסכת ע""ז (דף סו:) וקם ליה רבא בשיטתיה דלוי ואמר ריחא לאו מילתא היא ואביי ורבא הילכתא כרבא וכן הוא בתשובת הגאונים ואף משמו של רבי אליעזר בן יצחק נאמר לי דלא חייש לה:"
1365,Pesachim,152,0,יומא,שאר קרבנות ציבור - מוספין דעולה מכפרת אעשה כדתניא ביומא (דף לו.) אין עולה באה אלא על עשה ולא תעשה שניתק לעשה:
1366,Pesachim,152,1,ראש השנה,שאינו על מצחו - דהא אין נכנס שם בבגדי זהב כדאמרינן [בראש השנה] (דף כו.) דאין קטיגור נעשה סניגור:
1367,Pesachim,153,0,תמיד,אימורים דכי ליתנהו לא מעכבי - וכגון נטמאו או אבדו לא מעכבי אכילת בשר כדאמרן בתמיד נשחט (לעיל פסחים דף נט:):
1368,Pesachim,153,0,זבחים,"עומר ושתי הלחם דליכא עולין - לבד הקומץ שהוא במנחה כזריקת דם בזבחים אבל בשיריים ליכא הקטרה וכיון דבעי ר' יהושע תרתי צריך להיות קומץ ושיריים קיימין והכא שיריים ליכא ושתי הלחם דכוליה אכילות אפילו חדא נמי ליכא בשלמא לר""א דאית ליה הציץ מרצה על אכילות כולהו כמאן דלא איטמו נינהו:"
1369,Pesachim,153,1,זבחים,כמדת ר' אליעזר - שהיה אומר בזבחים (ד' קד.) דם אף על פי שאין בשר כשירה להקטיר קומצה ונפטרו הבעלים:
1370,Pesachim,154,0,מנחות,"למיקבעינהו בפיגול - דקי""ל אם יש פסול אחר בקרבן שחישב בו מחשבת פיגול אינו נקבע בפיגול להתחייב כרת על אכילתו דאמר מר ירצה כהרצאת כשר כך הרצאת פיגול במסכת מנחות (דף יו:):"
1371,Pesachim,154,0,מנחות,וכי תימא - הא דקתני מתני' שתי הלחם באין בטומאה לאו בשתי הלחם הבאות בפני עצמן כגון שלא היו להן כבשים דאמרינן במנחות (דף מה:) דבאין בפני עצמן ובהנהו לא קאמר מתני' דליתו בטומאה אלא בבאו עם הכבשים ומשום הכבשים הקריבין עמהן ששחיטתן מקדשת את הלחם וזריקת דמם מתרת אותן קאמר מתניתין דבאות בטומאה משום דציץ מרצי עלייהו:
1372,Pesachim,154,2,יומא,"כל שבעה - בפ""ק דיומא מפרש טעמא בראשון לפרישתו שמא היום שלישי לטומאתו שמא היום ג' ימים שניטמא במת וחששא בעלמא היא ומעלה וכן שני שמא שלישי ושלישי שמא שלישי ואינך מספקינן כל חד וחד בז' לטומאה:"
1373,Pesachim,154,1,"זבחים, מנחות","בזבחים כתיבי - ובמנחות לא כתיבי ואצטריך לאשמעי' דאפ""ה פליגי במנחות:"
1374,Pesachim,156,1,נזיר,"ואם זרק לא הורצה - דאע""ג דאכילתו לא מעכבא גברא דחזי לאכילה בעינן ורחמנא דחייה לטמא נפש לפסח שני ובנזיר נמי כתיב (שם) כי ימות מת עליו וגו' דסותר את נזירותו:"
1375,Pesachim,159,0,זבחים,נטמא גופו - בטומאת התהום בטומאת ספק כדמפרש בגמרא הרי זה מרצה דהלכה למשה מסיני היא דהותרה טומאת התהום להם כדאמר בגמרא ובתוספתא מפרש לה הכי כיצד אמרו לו קבר היה עמך בבית שנכנסת בו תחת האבן שישבת עליה ונודע לו עד שלא עשה פסחו צריך לעשות פסח שני משעשה אין צריך לעשות פסח שני. וכן נזיר שהיה הולך להביא קרבנותיו אמרו לו מת היה עמך בבית שנכנסת בו ונודע לו בין עד שלא הביא קרבנותיו בין משהביא קרבנותיו צריך להביא קרבן טומאה אבל אמרו לו קבר התהום עמך בבית שנכנסת בו תחת האבן שישבת עליה ונודע לו עד שלא הביא קרבנותיו צריך להביא קרבן טומאה ומהו קרבן טומאה אשם ושתי תורים ומתחיל למנות נזירות אחרת. בתוספת' דזבחים:
1376,Pesachim,159,0,נזיר,בקרבנותיהן - דנזיר ועושה פסח הותרה לו אם נטמא גופו בספק טומאה וקרבן יחיד אינו דוחה שבת וטומאה:
1377,Pesachim,159,0,נזיר,לא אמרו טומאת התהום - דהותרה בנזיר ועושה פסח:
1378,Pesachim,159,1,נזיר,אי בנזיר מי מהניא ביה - אפילו טומאות דשרץ [ודאי] לסתור מניינו והבאת קרבנותיו:
1379,Pesachim,159,2,כריתות,וכי ימות עליו כתיב - פתע זה שוגג פתאום זה מזיד בכריתות (דף ט.):
1380,Pesachim,160,1,שבת,"אי נמי ברואה שני בה""ש - דכל תחלות הימים היו בטומאה דאין כאן ספירה כלל ובשני בין השמשות סגי דאיכא טומאת ג' ימים רצופין כגון בה""ש של ע""ש יש כאן סוף ערב שבת ותחלת שבת ובין השמשות של מחר שהוא סוף השבת ותחלת א' בשבת הרי ג' ימים רצופין ואין כאן תחלת יום טהור שיעלה לספירה ולפי הדברים למ""ד מקצת היום ככולו תחלת הלילה עולה לספירתה וא""צ עלות השחר מדאיצטריך למנקט בין השמשות ולא נקט משכחת לה בשרואה בלילות:"
1381,Pesachim,160,0,תמיד,"בתמיד - כל השנה ואליבא דמאן דאמר טומאה דחויה היא בציבור קבעי רב יוסף הכי אי איצטריך להדר אכהן טהור משום טומא' התהום אי לא ואליבא דמ""ד לקמן דטומאת התהום מרצי ציץ גבי נזיר ועושה פסח אפי' לכתחלה כגון שנודע לו לפני זריקה:"
1382,Pesachim,160,1,נזיר,בקרבנותיהן - דנזיר ועושה פסח:
1383,Pesachim,161,0,נזיר,מהלכה - כגון קבר טומאת התהום הלכה למשה מסיני בנזיר ועושה פסח:
