,Masechet,Daf,Line,Perek,Comment
749,Niddah,67,1,דם הנדה,לימד על הזוב שהוא טמא - ואמר בדם הנדה (שם דף נה.) דהאי קרא לרבות למגע לא איצטריך דלא גרע משכבת זרע אלא למשא:
750,Niddah,68,0,דם הנדה,"ואיתקש מצורע לזב גמור - בעל שתי ראיות דהא בהאי קרא דהיקשא דמצורע תרתי כתיבי והזב את זובו הרי שתים וכתיב ביה לזכר לרבות מצורע כדין זב גמור מה זב גמור זובו מטמא במשא אף מצורע זובו מטמא במשא ואפילו ראשונה דבשלמא אי מפיק ליה האי לזכר לזב קטן ויליף מצורע זכר ממצורעת נקבה איכא למבעי ראייה ראשונה מהו מי הוי מתעגל ויוצא ומתרבי עם שאר מעיינות או לאו דבנקבה ליכא זוב לובן למילפיה מהיקשא דזב גמור אי לאו מעיין הוי אבל השתא דמצורע זכר איתקש לזב גמור לא צריך תו למבעי: ואית דמפרשי בעיא דרב יוסף הכי ראייה ראשונה של מצורע מהו שתטמא במשא בזב גרידא לא תבעי לך דודאי מטמא כדאמר לקמן לימד על הזוב שהוא טמא ומוקמינן בדם הנדה דקרא למשא אתא כי תבעי לך במצורע דאיכא למימר בזב גרידא הוא דמטמא משום דגורמת לו טומאה אבל במצורע כבר טמא הוא ואינה גורמת לו טומאה לא מטמיא הטיפה אי לא אמרינן מעיין הוא כרוקו או מימי רגליו מאי מעיין הוא או לא. לימד על הזוב ומוקמינן לה בראייה ראשונה והכי משמע כי יהיה זב מבשרו אותו הזב טמא. לאחרים לבעלה. ומדאיצטריך לרבויי לראייה ראשונה ש""מ לאו מעיין הוא. ושיבוש הוא מפני כמה תשובות חדא דקא פשיט ליה מקום זיבה לאו מעיין הוא והא למשא רבייה קרא כדאמר בדם הנדה מה לי מעיין ומה לי לאו מעיין ועוד מי איכא לאוקמי להאי קרא בראייה ראשונה והא מהכא נפקא לן בכל דוכתי מנה הכתוב שתים וקראו טמא ועוד מי איכא למימר בראייה ראשונה בזב גרידא לאחרים גורם טומאת משא הא זב בעל ראייה אחת אינו אלא כרואה קרי כדאמר בכמה מקומות שתים לטומאת זיבה ושלש לקרבן ועוד ראייה ראשונה הא אקשיה לעיל לקרי וקרי לא מטמא במשא ומשום שכתוב בספרים מדאיצטריך קרא בראייה ראשונה מפרשי ליה הכי ולאו מילתא היא דהאי בראייה ראשונה פירוש היה בספרים ולקמיה קאי והכי קאמר מדאיצטריך קרא לרבויי לשניה ש""מ ראשונה מקום זיבה לאו מעיין הוא וה""ג בשלהי שמעתתא מה זב גמור מטמא זובו במשא אף מצורע כו' אלמא זב גמור הוא דמטמא טיפת זובו במשא אבל זב בעל ראייה אחת לא:"
751,Niddah,69,0,דם הנדה,כאן שספרה - בראיותה בספרה ז' נקיים. מתניתין דמודו בית שמאי כשעברו ימי לידה ועדיין לא ספרה אחריהם שבעה נקיים והכי קאמר אף על גב דאמרי בית שמאי ביולדת גרידתא כרוקה וכמימי רגליה מודים ביולדת בזוב שלא ספרה דכל זמן שלא ספרה זבה היא ואם ראתה לא הוי כרוקה וכמימי רגליה דאילו רוק מטמא לח ולא יבש כדאמר בדם הנדה (לקמן נדה נו.) וכי ירוק כעין רקיקה דהיינו לח אבל דמה מטמא לח ויבש כשאר דם הנדה כדילפינן בדם הנדה (שם דף נד:):
752,Niddah,78,0,יוצא דופן,"מודה ר""ש - ביוצא דופן:"
753,Niddah,78,0,יוצא דופן,"דמסייע ליה לרבי יוחנן - דאמר דמודה ר""ש ביוצא דופן דקדשים:"
755,Niddah,82,0,אף על פי,כולכו ברוקא חדא תפיתו - כולכם שמעתם שמועה אחת. תפיתו לשון רוק וחבירו בכתובות תוף שדי בפרק אף על פי (כתובות דף סא:):
756,Niddah,82,0,בנות כותים,מטומאה לטהרה - לאחר שבועים וקיימא לן כבית הלל דאמרי בבנות כותים (לעיל נדה דף לה:) ביומי וטבילה תלא רחמנא דלא הוי דם טוהר אלא לאחר טבילה:
757,Niddah,82,0,בהמה המקשה,טומאה בלועה היא - וקיימא לן בפרק בהמה המקשה (חולין דף עא.) טומאה בלועה אינה מטמאה לא במגע ולא במשא והכא הא טומאה בלועה היא ולא דמיא לכל הנשים שמטמאות בבית החיצון דהתם משום ראייה דמאתמול היא וטומאת שבעה ורחמנא אמר בבשרה מכי אתא בבית החיצון הויא ראייה אבל הכא משום משא ונגיעה היא וטומאת ערב דאי משום ראייה מאתמול איעקר ומאתמול הויא ראייה וראייה דמאתמול לא מהניא לה האידנא דמאתמול הוה להו ימי טומאה והשתא הוו להו ימי טוהר וטומאה בלועה לא מטמיא במגע ובמשא:
758,Niddah,83,1,בהמה המקשה,דאמר רב אושעיא - בפרק בהמה המקשה (חולין דף עב.) אהא דתנן אשה שמת עוברה בתוך מעיה ופשטה חיה את ידה ונגעה בו החיה טמאה טומאת שבעה והאשה טהורה עד שיצא הולד והוינן בה חיה אמאי טמאה טומאה בלועה היא ואמר רב אושעיא הך טומאת חיה מדרבנן גזרה שמא יוציא ולד את ראשו חוץ לפרוזדור ותגע בו דמכי נפק הוה ליה ילוד ולא הוי בלועה וטמא מדאורייתא משום נוגע במת. אלמא חוץ לפרוזדור ילוד הוא הילכך לענין לטמא את אמו טומאת לידה נמי ילוד הוא:
759,Niddah,84,2,בנות כותים,"מהו - אפי' אם תמצי לומר לגבי ישראל דכי נעקר בהרגשה ויצא שלא בהרגשה טמא דאזלינן בתר עקירה הכא לא ניזיל בתר עקירה דהיינו קולא הואיל וכשהוא עובד כובים נעקר וטהור דאמר בבנות כותים קריו טהור אפילו לב""ה:"
760,Niddah,85,0,העור והרוטב,עכבר דים - אינו מטמא כדתניא בהעור והרוטב (חולין דף קכו:) דעל הארץ כתיב:
762,Niddah,87,0,חלק,לומר שממעט כו' - מתניתין דקתני נוחל ומנחיל לומר שממעט בחלק בכורה כגון אם היה בן יום אחד כשמת אביו והיה לו אח בכור ואח פשוט ומת הוא אחר אביו נוחל הוא מאביו את חלק רביעי שבנכסיו ומנחילו לשני אחיו וחולקין הבכור והפשוט את חלקו של זה בשוה ונמצא ממעט בחלק הבכור דאי לאו איהו הוה שקיל בכור תרי תילתי כגון מששה זהובים ארבעה ופשוט נוטל ב' זהובים ועכשיו נוטל הבכור ג' זהובים כנגד שני אחין ומחלקו של זה ג' רבעי זהוב נמצאו ביד בכור ד' זהובים חסר רביע וביד פשוט ב' זהובים ורביע. ודוקא בן יום א' אבל עובר אינו ממעט כדאמר לקמן בן שנולד לאחר מיתת אביו אינו ממעט בחלק הבכורה ונוטל הבכור שליש בכורתו ובין שלשתן יחלקו ב' שלישים:
763,Niddah,88,0,ארבעה ראשי שנים,"בשלמא לרבי יוחנן - דאמר מכי איקלע חשיבות שנה בשנה שלישית לרבי מאיר הויא בת ביאה ניחא ואע""ג דאמר רבי יוחנן ל' יום והכא קתני יום אחד תנאי היא בפרק ארבעה ראשי שנים (ר""ה דף י.) דאיכא למ""ד יום אחד בשנה חשוב שנה ואיכא למאן דאמר כו':"
764,Niddah,88,0,תולין,הני בתולין - בתוך ג' שנים:
765,Niddah,88,1,תולין,איתצוד - לשון צידה. כלומר אינן ניטלין על ידי ביאה ואינו דם בתולין עד ג' שנים ויום אחד:
766,Niddah,89,0,תינוקת,קודם הזמן הזה - כגון בתינוקת קודם שיבא ראש השנה של שתים עשרה ובתינוק קודם ראש השנה של שלש עשרה:
767,Niddah,89,2,תינוקת,"אחר הזמן הזה - בתינוקת מבת שתים עשרה ויום אחד ולמעלה בתינוק מי""ג שנה ויום אחד ולמעלה:"
768,Niddah,90,0,שנים,וטעמא - דחשיבי להו שערות דלאחר זמן הוא דגמרו למלתיה בין בשערות בין בשנים הא תוך הזמן חשבינן להו שומא דקטן הוא ולא מצית לרבויי מאיש:
769,Niddah,90,0,רבי יהודה,"בן ט' שנים שהביא שערות שומא - ואפי' לר' יוסי ברבי יהודה ומבן ט' ועד בן י""ב ויום אחד פלוגתא:"
770,Niddah,90,3,תינוקת,"ר""ש בן אלעזר - דאמר י""ג בתינוקת הוי תוך זמן. בכל הנך תירוצי מוקמינן תוך זמן כלפני זמן:"
771,Niddah,90,0,תינוקת,"כי יפליא - מיניה מרבינן מופלא סמוך לאיש. מופלא יודע לפרש לשם מי נדר. סמוך לאיש שהוא סמוך לבא לכלל גדול דהיינו שנה אחת קודם זמן שהוא ראוי להביא שערות והיינו בתינוקת כל י""ב ובתינוק כל י""ג:"
772,Niddah,91,0,חרש שנשא,"ש""מ כו' - פלוגתא היא בפרק חרש שנשא פקחת ביבמות (דף קיד.):"
773,Niddah,93,0,הערל,אמר רב שמואל - מתני' כגון שנולדו בו סימני סריס המפורשים בהערל כל שאין בשרו מוציא הבל כשהוא רוחץ ושערו לקוי ובשרו מחליק:
774,Niddah,94,0,שביעית,בשביעית נמי יעבוד - כגון נמכר בניסן וכשיגיע תשרי של שביעית עברו שש למנין עולם והוא יעבוד עד ניסן:
775,Niddah,96,2,אלו טרפות,גסטרא - היינו שברי כלי חרס הראויין למלאכה ועדיין מקבלין טומאה כדתניא בגמרא באלו טרפות (חולין דף נד:) הדקין שבכלי חרס הן וקרקרותיהן ודופנותיהן יושבין שלא מסומכין שיעורן בכדי סיכת קטן עד לוג ומלוג עד סאה ברביעית כו':
776,Niddah,99,1,כל הבשר,והיינו גירותא - דקיימא לן גירותא עוף טמא הוא דאמר בפרק כל הבשר (חולין דף קט:) כל מה דאסר לן רחמנא שרא לן לקבליה אסר לן דמא שרא לן כבדא אסר לן גירותא שרא לן לישנא דכוורא:
777,Niddah,100,2,ראשית הגז,ויש שחייב במתנות - כגון בקר ואינו חייב בראשית הגז:
778,Niddah,100,1,שנים,"מודים חכמים לרבי עקיבא - אע""פ דפליגי במנמר שדהו ושייר קלחים לחים. מנמר טיי""ר בלע""ז שמלקט כאן את המבושלים כל צרכן ומניח את הלחים שלא בשלו וחוזר ומלקט במקום אחר דהוה ליה מנומר. וקאמר ר' עקיבא כשהוא חוזר ולוקט נותן פאה מכל אחד ואחד שהקציר שבינתים מפסיק וחכמים אומרים פאה מאחת על הכל ומודים חכמים לרבי עקיבא בזורע שבת או חרדל כו'. להכי נקט הני שאין דרכן לעשות מהן ערוגה אלא זורען לתבלין בעלמא בשנים ושלשה מקומות. שבת אני""ט:"
779,Niddah,101,0,שביעית,מתני' כל שיש לו ביעור - שהוא מצווה לבערו מן הבית בשביעית כשכלה לחיה מן השדה:
780,Niddah,102,2,אין מעמידין,גבינה - נמי משנה היא באין מעמידין מפני מה אסרו גבינות העובדי כוכבים כו' ואמר רב מלכיא עלה מפני שמחליקין פניהן בשומן חזיר. כל הנך תלתא לא אתא רב מלכיא אלא לפרושי טעמא דמתניתין [או] שיעורא או לאוקמי הלכתא אבל גומות שפוד ואפר מקלה שמעתא דנפשיה היא ורב פפא מחליף שפחות לרב מלכיא ואפר מקלה לרב מלכיו:
781,Niddah,103,2,תינוקת,והאמורות בכל מקום - בתינוק ובתינוקת:
782,Niddah,103,0,הרואה,שהן כגריס ועוד - כלומר שלשה גריסין גסין דאיכא בכל חד וחד כגריס ועוד דהכי הוי שיעור כתם לקמן בפרק הרואה כתם (נדה דף נט.):
783,Niddah,104,3,במה מדליקין,בין השמשות דרבי יהודה - בבמה מדליקין הכסיף העליון ולא הכסיף התחתון ושיעורו חצי מיל ולר' יוסי כהרף עין ובסוף היום הוא זה נכנס וזה יוצא:
784,Niddah,106,2,שביעית,משמשת שמיני - ליום שראתה בו ראייה ראשונה שהרי טהורה הות שהרי בשביעית לערב טבלה ולא תראה עד תשיעי הלכך משמשת שמיני שלם לילה ויום:
785,Niddah,106,1,תינוקת,"גרגרן דתנן - בפרק תינוקת (שם.) הרואה יום י""א וטבלה ליום שלאחריו ושמשה וראתה בו ביום בית הלל אומרים הרי זה גרגרן שלא המתין יום זה ומהך ברייתא דקתני ומשמשת יום עשרים ולא יום י""ט שמעינן דאסור להיות גרגרן ולשמש ביום י""ב עם הרואה בי""א:"
787,Niddah,111,0,בגד,"מקדיר - נכנס בבגד טרשטריי""ש. כתם שלפני כבוס מגליד וגלדו עבה:"
788,Niddah,112,1,מחט,והא לית להו ולפני עור לא תתן מכשול - לא דרשי ליה במחטיא את חבירו ולא איכפת להם אם אנו חוטאים על פיהם:
789,Niddah,114,1,דם הנדה,מהו - מי מספקינן בדם הנדה או לאו:
790,Niddah,120,0,חלק,"עוג פלט מן המבול - שברח לא""י כדאמרינן בחלק:"
791,Niddah,121,0,מחט,במחט - מקום הזרע קשה והמחט מתעכב ליכנס בו:
792,Niddah,121,1,בגד,חדש - אין נבדק בחמה לפי שהוא עב ומהודק אבל שחוק נבדק בחמה שוטחו כנגד עיניו מקום הזרע הוי סתום ואין החמה נראית בבגדו כל כך:
793,Niddah,121,0,בגד,שאבד בו כלאים - שאם היה מכיר חוט הצמר בבגד הפשתן נותקו וכשר:
794,Niddah,123,1,תנור,"שסוף משקה לצאת - כלומר דרך משקה לצאת ע""י ליבון החרס וכיון שהיו חרסין אלו בתנור בשעת היסקו יצאו המשקין ונטמא תנור מאוירו:"
795,Niddah,123,3,בהמה המקשה,אי לא לא - דהוה ליה טומאה בלועה בחרסין וטומאה בלועה לא מטמיא כדאמר בבהמה המקשה (חולין עא.):
796,Niddah,126,0,בנות כותים,"הני מילי היכא דקאים - ליה אותו יום ששינתה בו בתוך ימים שראויה להיות בהן נדה כי מתני' שהיא למודה להיות רואה ביום ט""ו לטבילתה שהוא כ""ב לראייתה וכדאוקימנא בבנות כותים (לעיל נדה לט.) ושינתה ליום עשרים לטבילה שהן עשרים ושבע לראייה דכי הדר מטי יום ט""ו לטבילתה קיימא לה בימים הראויים לנדה שהרי שלמו לאחר טבילה י""א שבין נדה לנדה ונכנסה ארבעה ימים בימים הראויים לנדות אבל היכא דקאי בתוך ימי זיבתה כגון שהיתה למודה לראות ליום חמשה עשר לטבילתה והקדימה וראתה בתוך ימי הזוב כגון ליום עשירי לטבילה:"
797,Niddah,129,0,תינוקת,כי הוו מעייני בתינוקת - בהאי פרקא ששמה תינוקת:
798,Niddah,134,0,שנים,אפילו בשנים לנדתה בדקה - שחרית ומצאה טהורה ובין השמשות לא הפרישה ולסוף ז' טבלה ואחר ימים בדקה ומצאה טמאה הרי זו עד עכשיו בחזקת טהורה. ושלש מחלוקות בדבר לתנא קמא שביעי הוא דמטהרתה בדיקת שחרית אבל שני לא ולר' יהודה אפילו בדיקת שביעי שחרית לא מטהרה עד שתפריש בין השמשות ולרבנן בתראי אפילו בשני:
799,Niddah,135,0,כיצד,אהל מעליא בעינן - אין נזיר מטמא אלא באהל מת ודאי כדכתיב (במדבר ו׳:ט׳) וכי ימות מת עליו במחוורת עליו כדאמר בכיצד צולין (פסחים פא:):
800,Niddah,136,0,בנות כותים,ככותאי אמרה לשמעתיה - בפרק בנות כותים (לעיל נדה דף לג.):
801,Niddah,141,1,כסוי הדם,דאין דם מבטל דם - בפרק כסוי הדם:
802,Niddah,143,1,בא סימן,"לא איהו בעי שימור - מדאורייתא לשמור י""א כנגדו ולא לאחריני הוי שימור דעשירי לא בעי שימור מדאורייתא הואיל ולא תבא בהן לידי זיבה ומדרבנן מיהא אפילו רואה יום י""א אסורה לשמש ביום שלאחריו כדקתני מתני' ה""ז גרגרן ואמרינן בפרק בא סימן (לעיל נדה דף נד.) גרגרן דתנן אסור:"
803,Pesachim,3,0,מקום שנהגו,אסור בעשיית מלאכה - במקום שנהגו בו לנהוג איסור דאמרינן לקמן (פסחים דף נ.) מקום שנהגו שלא לעשות מלאכה אין עושין:
805,Pesachim,5,1,זיתים,"ואין מוסקין בטהרה - בזיתים קא קרי מסיקה ואין צריך למוסקן בטהרה כדאמר במסכת שבת ביציאות שבת (ד' יז.) דלא חשיב מוהל היוצא מהן להכשיר שאינו שמן גמור אלא היוצא ע""י הבד אבל יין הזב על הענבים מכשירן דניחא ליה ביה:"
806,Pesachim,8,0,יום טוב,אך חלק - התיר לך הכתוב לשהותו מקצת יום ביעורו ואי יום ביעורו ביום טוב מי שרי לשהוייה כלל הא איתקש כו' ואכילת מצה משחשיכה ועל כרחך השבתת שאור כשתחשך ואם כן לא משכחת אך חלק דאי לאו אך איכא למימר ביום הראשון בין השמשות שהוא התחלת היום אבל השתא על כרחך בתוך יום ביעורו שרי ליה קרא לשהוייה:
807,Pesachim,9,0,כל שעה,"ש""מ - מדלא נפקא ליה דהאי יום הראשון ערב יום טוב הוא אלא משום דאסור להבעיר ביום טוב שמע מינה סבירא ליה כר' יהודה דאמר לקמן בפרק כל שעה [פסחים כא. וכז:] אין ביעור חמץ אלא שריפה ויליף לה מנותר דאי השבתתו בכל דבר סבירא ליה לוקמיה ביו""ט ויבערנו בדבר אחר יאכילנו לכלבים או ישליכנו לים:"
809,Pesachim,9,0,ביצה,ופרכינן לרבא תנא מהדר אהיתירא ונסיב לה למילתיה קרא לאיסורא ומשני להיתירא קא נסיב לה משום שנאמר בגבולין בשאור לך לך תרי זימני לא יראה לך שאור בכל גבולך שבעת ימים בפרשת ראה וכתיב לא יראה לך חמץ ולא יראה לך שאור בכל גבולך בפרשת בא ואם אינו ענין להאי לך בגבולין גבי ראייה דהא כבר אמור תניהו ענין ללא ימצא ודרוש ביה לא ימצא לך אף במצוי אצלך והיינו שרוי עמך קאמינא לך דאין חמץ אסור אלא אם כן שלך אבל אתה מוצא את שלו וההיא לך דחמץ לא קחשיב דשאור וחמץ מיצרך צריכי כדאמר בביצה (דף ז:) דחד מחבריה לא יליף:
810,Pesachim,10,0,ארץ ישראל,"אף במקום שאמרו להשכיר - בפ""ק דע""א תנן אין משכירין בתים לנכרים בארץ ישראל אבל בסוריא משכירין וכל שכן בחוצה לארץ ואף במקום שהתירו להשכיר לא לבית דירה התיר אלא להעמיד בו בהמות ועצים ולא שידור הוא בה:"
812,Pesachim,12,1,הר הבית,בהר הבית לעולם חולין - ואפילו בשעת הרגל שיש מעות מעשר מרובין בירושלים ממעות חולין לא מספקינן להו במעשר דאזלינן בתר רובא דשתא ואמרינן לאו האידנא נפול אלא קודם הרגל ובירושלים בשאר ימות השנה חולין דרוב מעות העיר חולין ובשעת הרגל מעשר כדמפרש טעמא מה טעם בשעת הרגל מעשר ולא אמרי' קודם הרגל נפול כדאמרן בנמצאין בהר הבית הואיל ושווקי ירושלים עשויים להתכבד בכל יום מפני הטיט ואי נפול קודם הרגל הוו משתכחי בשעת כיבוד אבל הר הבית מתוך שהוא משופע והרוח מכבדתו מעפרו ועוד שאין אדם נכנס באבק שעל גבי רגליו ואינו עשוי להתכבד אלמא בכל דבר העשוי להתכבד אמרינן קמאי קמאי אזדו וסתם תיבות שמשתמשין בהן אוכלין נוטלין ראשון ראשון כדי שלא יתעפשו וכל שכן דמסתמא בדקה זה אור לארבעה עשר והאי דבתרא היא ומצה היא:
813,Pesachim,14,0,ארץ ישראל,עשו אוצרות שכר בבבל - להצריך בדיקה במסתפק כאוצרות יין בארץ ישראל דכיון דרגילין בו אין קבע לשתייתו:
814,Pesachim,15,0,ארץ ישראל,פירות גינוסר - מתוקין מאד כדאמרי' בברכות (דף מד.) והיינו כינרת שם מדינה בארץ ישראל:
815,Pesachim,17,0,שלשה עשר,"בשלשה עשר - רישא דקתני אין חוששין בבודק בשלשה עשר שמצוי פת הרבה לחולדה בתוך הבתים ואינה חוששת לשייר וסיפא בהדיא תנן בה בי""ד וכיון דלא חזיא החולדה פת הרבה בבתים כמות שהיא רגילה משיירא:"
816,Pesachim,19,0,תנור,"משקרב העומר - בו ביום יוצאים ומוצאים שוקי ירושלים מלאים קמח וקלי מן החדש למכור וקודם י""ט נקטף ונטחן ונתייבש הקלי בתנור:"
817,Pesachim,20,0,תנור,מקלי ואילך - לאחר שנתייבש בתנור אין ראוי לאכול:
818,Pesachim,21,3,הר הבית,על גב האיצטבא - סטיו שהיה בהר הבית ששם מתקבצין ויושבין בני אדם והיו רואין אותן לסימן:
819,Pesachim,21,0,שנים,"גמ' אחד אמר בשנים בחדש - הרג זה את הנפש ואחד מן העדים אומר בשלשה בחדש עדותן קיימת ובית דין היו בודקין אותן בשבע חקירות כדלקמן וכיון דהושוו שניהן לומר בשלישי או ברביעי וכשבדקום איזה יום בחדש אמר זה בשני וזה אמר בשלישי שניהן על יום אחד העידו אלא שזה ידע בעיבורו של חודש שחודש שעבר מלא והוקבע ר""ח ביום שלשים ואחד וזה שאמר בשנים בחדש ידע בו וזה שאמר שלשה סבור שהוקבע החדש ביום שלשים והואיל ויש טועין בכך אע""פ שמצווין אנו לחלק את עדותן כדי שתבטל להציל את הנפש אין בידינו כח לחלקו:"
820,Pesachim,23,0,דרישה וחקירה,"עדות מסורה לזריזים - אין אדם בא להעיד על הנפש אא""כ בקי בשעות לפי שיודע הוא שסופו להדרש בדרישה וחקירה אבל חמץ על הכל מוטל ושאינו בקי בשעות טועה בהן:"
821,Pesachim,24,0,כל שעה,"משום דקשיא מותר - בפרק כל שעה מקשינן כל שעה שאוכל מאכיל מיבעי ליה ומותר משמע כל שעה שמותר אדם אחר לאכול מאכיל זה האסור לאכול ומדוחקא דהא קושיא אוקימנא כרבן גמליאל והכי קאמר כל שעה שמותר כהן לאכול בתרומה מאכיל ישראל חולין לבהמה אלמא סתמא לא כר""מ היא:"
822,Pesachim,24,1,שלשה עשר,לא לבער - הא דקבעו כמותו לא איירי באכילה אלא בביעור שהיו חביריו חלוקין עליו שלא יבערו טהורות עד למחר קבעו דשורפין מערב שבת בשלשה עשר אבל בשיור לעולם אימא לך כדי לאכול עד חמש שעות והיא בכלל:
823,Pesachim,25,0,המפקיד,"בכדי חסרונן - כשאין נחסרין אלא כדרך חסרון של פירות הקצוב בב""מ בהמפקיד (ב""מ ד' מ.) לחטין ולאורז תשעה חצאי קבין לכור:"
824,Pesachim,25,0,שלשה עשר,מתוך שהן מרובות - לחמי תודה בשלשה עשר בניסן שכל מי שיש לו להביא תודה ברגל מביאה בשלשה עשר:
825,Pesachim,25,0,טבול יום,"כשירות היו - כלומר אפילו לא היה להן פסול גדול כלינה שהן כבר לשריפה אפ""ה מאחר שאין להם תקנה ליאכל ואפילו הן עדיין טעונות עיבור צורה יהבינן להו התם והיכי דמי כגון שלא נשחט עליהן הזבח ויש להן קדושת דמים משהוקדשו ואין להן היתר עד שישחט עליהן הזבח ויזרק הדם דלחמי תודה אין קדושין קדושת הגוף אלא בשחיטת הזבח כדתניא במנחות על חלות לחם חמץ יקריב קרבנו על זבח מלמד שאין הלחם קדוש אלא בזביחת התודה והאי קדוש קדושת הגוף קאמר דהא משעה שאמר הרי (עלי) לתודתי חל עליהם שם הקדש אבל אין קדושות ליפסל בלינה ובטבול יום ואם נטמאו נפדין ויוצאין לחולין עד שישחט הזבח עליהן וכשם שהזבח מקדשן כך בזריקת הדם ניתרין הם לאכילה כבשר התודה עצמו דהואיל ותלויין בה הרי היא כמוה וזריקת הדם מתרת קדשים דכתיב ודם זבחיך ישפך והדר והבשר תאכל:"
826,Pesachim,25,2,כיצד,"וכגון שנשפך הדם - ומיהו עדיין אינן טעונות שריפה וצריכות לעבר צורתן דתנן בכיצד צולין (לקמן פסחים פב.) כל שפסולו בגופו ישרף מיד בדם ובבעלים תעובר צורתו ויצא לבית השריפה ואפ""ה מזלזלינן בהו ויהבינן להו התם:"
829,Pesachim,26,1,טבול יום,שנפסל בטבול יום - והוא שלישי דטבול יום פוסל את התרומה מן התורה ביבמות פרק הערל (יבמות דף עה.) מבכל קודש לא תגע ויולדת משטבלה לסוף ימי טומאה עד מלאת ימי טהרה שלה טבולת יום ארוך היא שהרי אינה ראוייה להביא כפרה עד יום שמונים ואחד אלמא לא הוי הערב שמש דילה עד שקיעת החמ' דשמוני':
830,Pesachim,28,2,הערל,"טמאין - חולין טמאין יש בה וראויין לו בימי טומאתו או למי שאינו אוכל חולין בטהרה ואם תפול תרומה זו לתוכו ה""ל מדומע טמא ולא חזי לישראל משום תרומה ואפי' טהורה ולא למכור לכהן דכיון דטמאה היא אסורה ביבמות בהערל (דף ענ:) נפקא לן שהאוכל תרומה טמאה עובר בעשה בשעריך תאכלנו לזה הטמא והטהור יחדו ולא לאחר:"
831,Pesachim,30,0,משקה,ספק משקה ליטמא טמא לטמא אחרים טהור - כשנולד ספק במשקה בתחילת טומאתו כגון טמא שפשט רגלו במשקין טהורין ספק נגע ספק לא נגע זהו ספק משקה ליטמא שנולד לו ספק טומאה טמא מן הספק דקסבר טומאת משקין להיות עצמן טמאין דאוריית' היא דכתיב וכל משקה אשר ישתה וגו' הלכך הויא ליה ספיקא דאורייתא ולחומרא ספק משקה לטמא אחרים כגון הית' מקל בידו ובראשה משקין טמאין וזרקה לבין הככרות טהורין ספק נגעה ספק לא נגעה זה הוא ספק משקה לטמא אחרים כך היא שנויה במסכת טהרות: 
832,Pesachim,30,3,אוכלין,"לכל טמא - אספק משקה לטמא אחרים קאי כשנולד ספק נגיעת שום דבר טהור במשקין טמאין בין שנולד ספק זה בכלים בין שנולד באוכלין הרי הוא טמא מספק דקסבר משקין מטמאין כלים מן התורה ויליף טעמא מאשר ישתה בכל כלי יטמא ודריש יטמא יטמא ומדסמכיה לכלי משמע יטמא את הכלי והכי דרשינן ליה בתורת כהנים הלכך כי הוי ספק הוי ליה ספיקא דאורייתא וברה""י ספיקו טמא:"
833,Pesachim,30,1,מעין,יהיה טהור מטומאתו - והכי קאמר אם יבא הטמא במעין ובור מקוה מים יהיה טהור הואיל וטבל הא שאובין לא מטהרי ליה:
834,Pesachim,31,1,האשה,במזיד לא הורצה - להיות בשר קרבן נאכל לכהנים דקנסא הוא אבל בעלים נתכפרו כדאמרינן ביבמות בהאשה רבה (יבמות ד' צ.) דכיון דמדאורייתא מרצי נמי אמזיד לא מצו רבנן למימר ליה זיל אייתי חולין לעזרה קתני מיהת דם שנטמא אלמא דם קדשים שהוא משקין בית מטבחיא מקבל טומאה אלמא משקין טומאת עצמן דאורייתא ודכן דיוסף בן יועזר מלטמא אחרים הוא וקשיא לרב:
835,Pesachim,31,0,כיצד,"על הדם ועל הבשר ועל החלב - בין שנטמא הדם בין שנטמא הבשר בין שנטמא החלב הציץ מרצה ולא שיהא בשר טמא נאכל דאין ציץ מטהר ודוחה לא תעשה דוהבשר אשר יגע בכל טמא לא יאכל אלא לר' יהושע איצטריך דאמר בכיצד צולין (לקמן פסחים עז.) אם אין בשר אין דם וקאמר הכא ה""מ כשיצא בשר חוץ למחיצתו שאין ציץ מרצה על היוצא או שאבד הבשר אבל נטמא בשר קודם זריקת דם הציץ מרצה עליו להתיר דם לזריקה:"
836,Pesachim,31,1,כיצד,בין בשוגג בין במזיד - והאי דתני לעיל בשוגג הורצה במזיד לא הורצה בכיצד צולין פליגי בה אמוראי חד אמר טומאתו בין בשוגג בין במזיד אבל זריקתו בשוגג אין במזיד לא וחד אמר איפכא:
837,Pesachim,33,0,אוכלין,(רבן) שמעון אומר בכלים טמאין - (רבן) שמעון לטעמיה דאמר לעיל טומאת משקין דאוריי' ואפי' לטמא אחרים כדתניא גבי ספק משקה לטמא אחרים (רבן) שמעון אומר באוכלין טמא הלכך במשקי בית מטבחיא לא מצו רבנן לטהורינהו:
