,masechet1,masechet2,loc1,loc2,txt1,txt2
1312,Sanhedrin,Shevuot,68b:7-8,9a:8-9,"['רב חסדא - סבר קטן שלא הביא שתי שערות מוליד:', 'שמע מיניה תרתי - משום דהשתא משמע הכי ומשמע הכי כי יהיה בן לאיש כשיגיע לגבורתו של איש ומשתמע נמי אאבוה כי יהיה לאיש גדול בן ולא שיהיה לקטן בן:']","['א""כ - דלכדר""ש בן לקיש לחודיה הוא דאתא:']"
1313,Niddah,Pesachim,48b:2,43a:26,['איש - אין בו סימן עליון שאין בו סימן דדים משתנים:'],['לכל עונשין - מכאן שהנשים חייבות על כל לא תעשה שבתורה שהרי עונשן מלקות:']
1314,Avodah Zarah,Pesachim,41b:9,9a:6,"['הוי ספק וודאי - ספק להיתר וודאי אסור:', 'אין ספק מוציא מידי ודאי - שהוחזק תחלה לאיסור:']",['מי יימר דאכלתיה - הוי ספק ביעור ודאי חמץ היה כאן ואין ספק היתר מוציא את הבית הזה מידי ודאי איסור:']
1315,Megillah,Sotah,27b:23,39a:4,"['קפנדריא - מקצר הילוכו דרך בית הכנסת:', 'ולא פסעתי על ראשי עם קודש - כשהיו התלמידין בבית המדרש על גבי קרקע ההולך על גבי מסיבתן לישב למקומן נראה כפוסע על ראשי העם:', ""ולא נשאתי כפי - לדוכן לברכת כהנים לפי שהכהנים צריכין לברך ברוך אתה ה' אלהינו מלך העולם אשר קדשנו (במצותיו וצונו) בקדושתו של אהרן במסכת סוטה (דף לט.):""]","['במה הארכת ימים - איזה זכות בידך שהארכת ימים:', 'קפנדריא - לקצר דרכו דרך בהכ""נ ליכנס בפתח זה ולצאת כנגדו ולשון קפנדריא מפרש בברכות (דף סב:) אדמקיפנא אדרי איעול בהא עד שאני מקיף סביב השורות הללו אכנס בזה ואקצר דרכי ודרי שורות בתים:', 'ולא פסעתי על ראשי עם קודש - שהיו יושבים התלמידין בבית המדרש על גבי קרקע והמהלך ביניהם כשהן יושבין ונכנס לישב במקומו מרחיב פסיעותיו בעל כרחו והוא לשון מפסע ונראה כמפסע על ראשיהם לפיכך צריך להקדים או ישב לו מבחוץ:', 'ולא נשאתי כפי לברך - שכהן היה:', 'בלא ברכה - ברכה דמפרש ואזיל מאי מברך:']"
1316,Kiddushin,Menachot,37b:5,39b:14,"[""ופרט לך באחת מהן - גבי מלך כתיב (דברים י״ז:י״ד) כי תבא אל הארץ וגו' וירשתה וישבתה בה ואמרת אשימה עלי מלך:""]","['בגדים בתורה סתם - על כנפי בגדיהם:', 'ופרט לך - בכלאים (דברים כב) וגבי נגעים (ויקרא יג) בבגד צמר או בבגד פשתים:']"
1317,Eruvin,Kiddushin,81b:9-10,28b:5,"['דבר תורה מעות קונות - דכתיב בפודה מן ההקדש (ויקרא ס) ונתן הכסף וקם לו קל וחומר בלוקח מן ההדיוט:', 'נשרפו חיטיך - שנתת לי מעות עליהן הלכך מוקמינן להו ברשות מוכר כי היכי דלימסר נפשיה עלייהו וניטרח לאצולינהו:']",['מאי טעמא - שאני משאר מעות:']
1318,Chullin,Pesachim,36b:11,16a:16,"['במשקי בי מטבחיא - במים שרחצו בהן הבשר בבית המטבחים בעזרה:', 'לא דיין שהן דכן - שאין מטמאין כדאמרינן בפסחים גבי עדותו של יוסי בן יועזר:']",['אלא שאין מכשירים - אלמא הכשר תלושין דרבנן הוא דאי מדאורייתא מאן שקליה ממשקי בית מטבחיא דלא ליכשרו:']
1319,Eruvin,Eruvin,55b:1,57a:11,"['נותנין קרפף לעיר - כשבא למדוד התחומין מניח לעיר אויר של שבעים אמה ושיריים שהוא כעיר לבד התחום:', ""אלא לב' עיירות - לחברן על ידי קרפף שביניהן:""]","[""מתני' נותנין קרפף לעיר - כשבא למדוד התחומין אין מודדין מן החומה אלא מרחיק ע' אמה ושיריים כחצר המשכן ומתחיל למדוד:""]"
1320,Ketubot,Makkot,38a:10,18b:14,"['להלן - במפתה:', 'מה להלן - במפתה שקלים דכתיב ישקול:']","[""מה להלן בעלים - דההוא בבעלים משתעי דכתיב יביא את קרבנו לה' מזבח שלמיו וסמיך ליה ידיו תביאינה:""]"
1321,Gittin,Shabbat,70a:21,129b:2,['אכל ועמד - מיד קודם ששהה מעט:'],['אכל ועמד - מהר לעמוד פתאום אחר שאכל שובעו:']
1322,Sotah,Yevamot,2a:3,11a:14-11b:1,"['ואם מת - קודם שהשקה ואין לו בנים והיא זקוקה ליבם:', 'חולצת - לינשא לשוק ולא מתייבמת ובגמרא יליף לה:']","['נכנסה עמו - המקנא לאשתו ואמר לה אל תסתרי עם איש פלוני:', ""לביתה - לבעלה שמא זינתה שרגלים לדבר שהרי קינא לה ונסתרה ואם כהנת היא אסורה בתרומה כדיליף במסכת סוטה (דף כח.) נטמאה נטמאה ונטמאה ג' פעמים אחד לבעל ואחד לבועל ואחד לתרומה:"", 'ולא מתייבמת - טעמא מפרש בפ""ק דסוטה. [קתני מיהא] חולצת קשיא לרב:']"
1323,Keritot,Rosh Hashanah,9a:11,31b:7,"[""צריך שיפריש רובע דינר לקינו - דלכשיבנה בית המקדש יביא קן דאמרי' לעיל דצריך קרבן וקרבן בפחות מרובע לא אפשר להפריש דאין מצוי קן בפחות מרובע כדאמרינן במתני' ועמדו קינין ברבעתים אבל פחות לא אפשר:"", 'מפני התקלה - שלא יהנה ממנו:']","[""צריך שיפריש רובע לקינו - רובע שקל דהיינו חצי דינר והן הן דמי קן כדתנן (כריתות דף ח.) עמדו קינין בו ביום ברבעתים שהגר חייב בקרבן כדתניא (שם דף ט.) ככם כגר יהיה כאבותיכם מה אבותיכם לא נכנסו לברית אלא במילה וטבילה והרצאת דמים והזאת דמים דכתיב ויקח משה את הדם ויזרוק וגו' ואין הזאה בלא טבילה והרצאת דמים דכתיב וחצי הדם זרק על המזבח אף הם לא יכנסו אלא במילה וטבילה והרצאת דמים כו' במסכת כריתות בראש פרק ארבעה מחוסרי כפרה (שם) מסיק מילתא דסגי ליה בעולת העוף הלכך יפריש רובע לקינו שמא יבנה בית המקדש בימינו ויקריבנו:"", 'מפני התקלה - דלמא אתי לאתהנויי מיניה:']"
1324,Avodah Zarah,Sanhedrin,30b:2,70a:10,['יין תוסס - יין חדש מגיתו. עד שהוא מחמיץ להיות יין קרי ליה תוסס:'],['כל זמן שהוא תוסס - שהוא נושך בגרון מחמת שהוא מחמיץ:']
1325,Chagigah,Zevachim,6a:17-6b:1,115b:16-17,"[""כללות נאמרו בסיני - הרבה דברים נאמרו סתומים בסיני שלא נתפרשו כל צרכן ופירשו לו לאחר שהוקם המשכן באהל מועד שהרי לא נתפרשו שם הלכות עבודה ככל הצריך אלא מזבח אדמה תעשה לי וזבחת עליו את עולותיך ואת שלמיך (שמות כ׳:כ״א) ולא פי' מתן דמיהן הפשיטן וניתוחן של עולות והקרבת אימורין של שלמים:"", ""ופרטות באהל מועד - משהוקם המשכן ודיבר עמו מעל הפרוכת שם פירש לו הכתוב כדכתיב ויקרא אל משה וידבר ה' אליו מאהל מועד לאמר ובספר תורת כהנים דהיינו ויקרא נתפרשו כל הלכות קרבן וכן דברים הרבה:""]","[""כללות נאמרו בסיני - כגון מזבח אדמה תעשה לי וזבחת עליו וגו' ולא נתפרשו הלכות עולה ושלמים שם:"", 'ופרטות באהל מועד - לאחר שהוקם המשכן נאמרה ת""כ למשה ושם נתפרשו והפשיט ונתח לרבי ישמעאל שמעי\' דעולה שהקריבו בסיני לא הוטענה הפשט וניתוח:']"
1326,Bava Kamma,Sotah,109b:4-5,23b:6-7,['קטן - שאין איש בידוע שאין לו בנים יתנהו לכהנים ומהכא נפקא לן דקטן לאו בר אולודי הוא בסנהדרין בבן סורר ומורה (סנהדרין דף סט.):'],['איש - צרוע הוא:']
1327,Chullin,Kiddushin,114a:10-11,4b:6-7,"['מעיקרא דדינא - מתחלת הדין דקתני מה אמו שלא נאסרה עמו בהרבעה נאסרה עמו בבשול זהו תחלתו של ק""ו ויש להקשות מה לאמו שכן נאסרה לישחט עמו ביום אחד. ולהכי נקט מעיקרא דדינא פירכא משום דפעמים מקשה על סוף הדין כגון דקתני סיפא פרה ורחל שנאסרו עמו בהרבעה אינו דין שנאסרו עמו בבשול זהו סוף הדין ואם היה מקשה ואומר בהמה טמאה תוכיח שנאסרה עמו בהרבעה ולא נאסרה עמו בבישול אף אתה אל תתמה על פרה ורחל כו\' זו היא פירכא על סוף הדין:']",['מעיקרא דדינא - ממקום שאתה בא ללמוד דהיינו אמה העבריה יש להשיב ולהכי קאמר מעיקרא דדינא פירכא שהתשובה שהשיב בתחילה יבמה תוכיח לאו מעיקרא דדינא אתיא אלא ממקום אחר:']
1328,Bava Kamma,Ketubot,117a:8,31a:2,"['זרק חץ - בשבת:', 'עקירה צורך הנחה - דכיון דבין עקירה להנחה קרע נמצא מעשה שבת ומעשה עקירה באין כאחד ולא אמרינן משעת עקירה חייב ממון ומתחייב בנפשו לא הוי עד שעת הנחת חץ והכא נמי הגבהת יין צורך ניסוך הוא ותשלומין וחיוב מיתה דע""ז באין כאחד:']","['שעקירה צורך הנחה היא - הלכך אע""ג דחיוב ממון מקמי הנחה אתיא ליה פטור הואיל ובין עקירה והנחה אתיא ליה מיתה ותשלומין באין כאחד שעקירה צורך הנחה היא ומההיא שעתא אתחלה לה מלאכה:']"
1329,Shabbat,Shabbat,125b:2,137b:13,"['ותלוי - שאינו נגרר בארץ שהחבל שהוא קשור בו אינו מגיע לארץ:', 'אין פוקקין בו - דמיחזי כמוסיף על הבנין:', 'בין כך ובין כך - בגמרא מפרש לה:']","[""גמ' פקק החלון - כגון ארובת הגג:""]"
1330,Zevachim,Zevachim,75a:7-75b:1,80a:15,"['רבי אליעזר - לגבי מי חטאת קאי ומייתינן לה לקמן בפירקין (זבחים דף פ.) צלוחית של מי חטאת המוקדשין שנפל לתוכן מים אחרים כל שהוא רבי אליעזר אומר יזה שתי הזאות ולקמן מפרש מילתיה וקאמר רבי לדברי רבי אליעזר הזאה אינה צריכה שיעור אגבא דגברא דאי צריכא שיעור נהי נמי דיש בילה וסמכינן עלה דודאי יש בכלל הזאה מן המים הכשרים ומצטרפין מה שבראשונה ומה שבשניה מי יימר דמליא שיעורא:', 'הזאה כל שהוא מטהרת - חדא מילתא היא שהזאה כל שהוא מטהרת ולקמן מפרש אמאי יזה שתי הזאות:', 'והזאה מחצה כשר ומחצה פסול - כלומר ולא תימא דהזאה כל שהוא [דמטהרת] (דמועטת) (ומיהו) אם אין עם התערובת פסול אלא אפילו יש עם התערובת פסול כשרה ומחצה לאו דוקא אלא ליכא שיעור [וקס""ד] דהוא הדין למתן דמים:']","['לדברי רבי אליעזר - דמכשיר בשתי הזאות:', 'הזאה כל שהוא מטהרת - דשמא אין אחת מהן הזאה ברורה שלא יהא בה מן הפסולין אלמא סבירא ליה דהזאה כל שהוא מטהרת והזאה אין צריכה שיעור:']"
1331,Ketubot,Ketubot,21a:15,76b:9,['רב יהודה אחוה דרמי בר יחזקאל הוה:'],['יהודה אחי - רב יהודה ורמי שניהם בני (רב) יחזקאל הוו:']
1332,Ketubot,Ketubot,20b:7,28a:8,"[""מתני' הרי אלו נאמנין - דאיכא תרי סהדי דמסהדי אכל כתב וכתב:""]","['מתני\' זה כתב ידו של אבא - ומקיימין השטר על פיו אע""פ שמת אביו בעוד זה קטן:']"
1333,Chagigah,Sotah,24a:5,29b:9-11,['מחוסר כפורים כשר לתרומה ופסול לקדש - ביבמות ילפינן לה מקראי בפרק הערל (יבמות דף עד:):'],['מחוסר כפורים - בטומאות הצריכות קרבן כגון זב וזבה ויולדת ומצורע:']
1334,Sotah,Yevamot,47b:5,88b:11,"[""והא אמר עולא כו' - סוגיא זו כולה פירשתיה בפרק מי שקינא (לעיל סוטה לא:) ואינה חלוקה כאן כלום:""]","['הרי כאן שנים - הרי הוא חשוב כשנים כגון בעדות אשה לומר שמת בעלה ובעדות סוטה לומר נטמאה:', 'ואין דבריו של אחד - דאמר לא מת במקום שנים:']"
1335,Menachot,Pesachim,72a:11,69b:9,"['כלל אר""ע - במילה קא מיירי בפרק רבי אליעזר דמילה:']","['כלל א""ר עקיבא כל מלאכה שאפשר לעשותה מערב שבת - כגון הבאתו מחוץ לתחום וחתיכת יבלתו:']"
1336,Chullin,Makkot,83a:2,2b:7,['שאין בו מעשה - ישב לו ולא אכל ומאליו נעשה נותר:'],"[""לאו שאין בו מעשה אין לוקין עליו - לקמן יליף לה בפרק ג' (דף יג.):""]"
1337,Avodah Zarah,Bava Kamma,66b:6,49b:2,"['לרבא - דאמר לאו מילתא היא ודאי על כורחיה כתנאי אמרה למילתיה ולאו דברי הכל היא דהא ר""מ אוסר וליכא למימר איסור אלא משום ריחא:']","['לרבה ודאי - ע""כ מוקי למילתיה כתנאי דהוא אמר חייב והא דתני פטור לא מצי מוקי ליה כוותיה וע""כ הכי מתרץ אנא דאמרי כתנא דמחייב:', 'אלא לרב חסדא מי לימא - מי מיבעיא ליה לאוקמיה מילתא בפלוגתא כתנאי ולמימר אנא דאמרי כתנא דפטר או מצי לתרוצי האי דתנא חייב במילתא אחריתי דלא תקשי ליה:']"
1338,Bava Metzia,Rosh Hashanah,43a:8,33b:4,['איידי דתנא רישא הוציא - לאשמועינן רבותא דאפילו הוציא לא מעל תנא סיפא הוציא:'],['תנא סיפא נמי מתעסק - ולעולם השומע מן המשמיע לעצמו שלא נתכוון להוציא את השומעין לא יצא:']
1339,Chullin,Sanhedrin,7b:14,67b:7-9,['אין עוד מלבדו - משום רבי חנינא נקט לה:'],"['אפילו כשפים - אין בהן כח לפני גזרתו שאין כח מלבדו:\n', 'אין עוד מלבדו כתיב - ואם המקום חפץ בי לא תוכלי להרע ואם תוכלי מאתו יצא ואני מקבלן:', ""דנפיש זכותיה - ומסרי נפשיה משמיא לאצולי':""]"
1340,Chullin,Makkot,115b:17,19a:7,"['שכן גדולי קרקע - אע""ג דאין חומר להיות נאסרין בכך אפ""ה אמרינן:']",['וניהדר דינא וניתי במה הצד - למה לי היקישא נימא בכור יוכיח וחזר הדין הצד השוה שבהן שטעונין הבאת מקום ואינן נוהגין אלא בפני הבית:']
1341,Niddah,Yevamot,63b:23,65a:1,"[""מתני' ואינה מטהרת מן הוסת - דאסורה כל ימי וסתה שמא תראה:""]","['קובעת לה וסת - לסמוך עליה להיות דייה שעתה דתנן (נדה דף ב.) כל אשה שיש לה וסת דייה שעתה ולא מטמאינן לה למפרע מעת לעת ועוד דאם קובעת לה וסת והגיע זמן וסתה ולא בדקה טמאה דאורח בזמנו בא:', ""ואינה מטהרת מן הוסת - אפילו נעקרה פעמים שבדקה בב' וסתות ולא ראתה ושינתה ראייתה ליום אחר ב' פעמים אפילו הכי מחזקינן וסתה לכשיגיע ואם לא בדקה טמאה דאורח בזמנו בא:""]"
1342,Beitzah,Kiddushin,40a:3-4,79b:3,"['לימא - הך פלוגתא דהכא כי הך אזלא משום דאמר רב הלכה כרבנן דקיימי ברשותיה לענין שמירה הוא הדין לתחומין:\n', ""אמר לך רב - בהך אנא דאמרי אפי' לרבי דאילו רבי לא פליג אלא בדלא פריש אלא עול סתמא אמר ליה וסבר רבי עול ותנטר את קאמר ליה אבל מפקיד פירות דהכא לאו בסתמא עסקינן אלא בדקביל לנטירותא:""]","[""התם כו' - וכיון דספיקא הוא אמרינן העמד ממון על חזקה שהיה מוחזק בה קודם מתנה זו שהיה ספק:""]"
1343,Eruvin,Eruvin,17a:7,93b:12,"[""עירב דרך הפתח ונסתם הפתח - אם היו ב' חצרות ופתח ביניהם ועירבו דרך הפתח ונסתם הפתח או אם היו ב' חנויות ופתח ביניהם דעירבו על דעת הפתח ועכשיו נסתם בשבת שנפלה כנגדו מפולת:"", ""מהו - מי שרי לאשתמושי דרך שאר חלונות הפחותות מד' שאין ראויות לעירוב כדאמרי' בפ' חלון (לקמן עירובין דף עו.):""]","['דאמרת בעאי מיניה מרב הונא עירב דרך הפתח - שתי חצירות שעירבו יחד על ידי פתח שביניהם:', 'ונסתם - בשבת שנפלה מפולת כנגדו:', 'מהו - לטלטל מזו לזו דרך גובה הכותל וחורין וסדקין מי אמרינן הואיל והותר למקצת שבת הותר לכולה או לא:\n']"
1344,Chagigah,Pesachim,23b:8,19a:6,"['לבונה וגחלים - אע""ג דלאו אוכל נינהו חיבת הקדש מכשרתן לטומאה:', ""פסל את כולן - לפי שהכלי מצרפן יחד והך עדות מדרבנן היא מדקתני רישא על אפר חטאת כו' וההיא ודאי על כרחך דרבנן היא דאי מקרא דר' חנין ליכא למילף אלא קדשי מזבח אבל אפר פרה לא:""]","['הוסיף ר""ע - בעדות:', 'לבונה וגחלים - אע""ג דלאו אוכלין נינהו חיבת הקודש מכשרתן ומשויא להו אוכל בפ\' כל שעה (פסחים לה.):', 'פסל את כולן - אלמא מצרף כלי מה שבתוכו דאי משום דנגעי אהדדי נהי דגחלת שנגע בה מטמא את חברתה אבל חברתה תו לא מטמיא דא""כ ה""ל ששי ושביעי עד ק\' ומאותו עדות נשנית משנה זו דהכלי מצרף וקתני בהדיא רביעי בקודש פסול אלמא דר""ע חמישי לית ליה שלישי בתרומה אין רביעי לא אלמא לית ליה לר""ע ק""ו דר\' יוסי בלשון אחר שמעתי יורד לעמקי תהום וא""א להעמידו:']"
1345,Megillah,Shevuot,10a:6-10b:3,16a:10-17,['קלעים להיכל - קא סלקא דעתך במקום חומות היכל שיהא מזבח הבנוי בעזרה קרוי אשר פתח אהל מועד שאלמלא כן לא היו מקריבין עד שיגמר הבנין והם התחילו להקריב קרבנות משבאו שם בימי כורש כמו שכתוב בספר עזרא ועד עשרים ושנים שנה אחרי כן לא נגמר הבית בשנת שלש לדריוש האחרון:'],"['תנאי היא - דפליגי בקדושה ראשונה לשעתה ולעתיד לבוא למ""ד לא קידשה לעתיד לבוא איצטריך עזרא לקדשה וקידשה בלא מלך ואורים ותומים ואית ליה אחת מכל אלו תנן ולמ""ד קידשה לעתיד לבוא לא הוצרך עזרא לקדש כלום אלא לזכר בעלמא ולא גמרינן מינה:', ""קסבר לא קידשה ורמינהי כו' - היינו תנאי:""]"
1346,Avodah Zarah,Avodah Zarah,51a:15,5b:10,"['אלא במחוסר אבר - דלא אשכחן דליתחזי לגבוה:', ""הבא בהמה שחיין ראשי אברים שלה - שגלוי וידוע לפניו שעתיד להקריב נח כדכתיב ויקח מכל הבהמה הטהורה וגו':""]","[""ומכל החי - על שם שהיה עתיד נח להקריב מהן דכתי' ויקח מכל הבהמה הטהורה וגו' (בראשית ח׳:כ׳):""]"
1347,Bava Kamma,Bava Kamma,33a:14,5a:4,"[""יכול - תם שחבל באדם יהא כמועד לכל דבריו אפי' לשלם מן העלייה:"", 'מגופו משלם - ואם אינו שוה כנגד כל החבלה יפסיד ניזק ואינו נוטל אלא השור:']","['יכול ישלם תם שחבל באדם מן העלייה ת""ל כו\' - ואשתכח דלא משלם נזק שלם אלא כמו שהשור שוה:']"
1348,Ketubot,Ketubot,100a:13,97a:6,['אחריותא איתמי - אם נמצאת השדה גזולה או משועבדת לאחר וטרפה מן הלוקח בחובו חוזר הלוקח על היתומים שהאלמנה שליח של יתומים היתה:'],"['ארמלתא דזבין - שדה יתומים למזונות או לכתובה וקבלה עליה אחריות:', 'אחריות איתמי - אחריות הלקוחות חוזר על היתומים שהרי עליהן היה החוב:']"
1349,Beitzah,Bekhorot,39b:7-9,56b:16-18,['ואמר רב ענן לא שנו - דבשביל חלוקה בטלה תפיסת הבית מנייהו:'],"[""אפילו חלקו כו' - אין ברירה והוי מרישא לקוחות והדר שותפין: ""]"
1350,Bava Metzia,Yoma,115a:5-6,87a:11,"['עשה זאת והנצל - התרפס יד אם ערבת ואם לא ערבת אלא נוקשת באונאת דברים רהב רעיך הרבה עליו רעים לבקש מחילה:', 'אם ממון יש לו בידך - אם נעשה לו ערב ואם נוקשת בדברים רהב רעיך:']",['בני אם ערבת לרעך תקעת לזר כפיך - בשביל זר לערבו בממון או אם נוקשת באמרי פיך שהקנטתו בדברים עשה זאת והנצל כי באת בכף רעך על עסקי ממון:']
1351,Ketubot,Ketubot,53a:13,89b:12,"['לא אונן - ליאסר בקדשים:', 'ולא מיטמא לה - אם כהן הוא דלאו שארו היא:', 'ולא מיטמאה לו - אינה חייבת ליטמא לו ואע""פ שמצוה להתעסק בששה מתי מצוה האמורים בפרשת כהנים (ויקרא כא) דכתיב לה יטמא מצוה זו אינה מהם דלאו שארו היא אבל אם רוצה היא ליטמא אינה מוזהרת מליטמא אפילו כהנת דבני אהרן כתיב ולא בנות אהרן:', 'אינו יורשה - נדוניית בית אביה דלא תקון ירושת הבעל עד שתכנס לחופה או שתמסר לשלוחים:', 'מת הוא - בחייה:', 'גובה כתובתה - מנה מאתים ותוספת אם כתב לה:']",['ולא מיטמא לה - אם כהן הוא דשארו כתיב:']
1352,Yevamot,Yevamot,36a:7,87b:9,['שהלך בעלה - ואין לו בנים:'],"[""מתני' האשה באו ואמרו לה כו' - בעד אחד כדדייקינן בגמרא מסיפא: ""]"
1353,Shabbat,Shabbat,22a:6,40a:6,['כל מילי דמר - רבה בר נחמני:'],"['הא ודאי עביד - רבה בכל מילי כרב:', 'כחומרי דרב הוה עביד - בר מהני תלת חומרי אבל כקולי דרב איכא דלא עביד והא קולא היא ודילמא לא עביד:']"
1354,Eruvin,Yevamot,47a:16,43b:4,"[""כל הנשים יתארסו - אתנא קמא פליג דאסר אפי' ליארס ואדרבי יהודה פליג דשרי ארוסה לינשא:"", 'חוץ מן האלמנה מפני האיבול - שאסורה ליארס כל ימי אבלה אבל גרושה תיארס מיד:']",['כל הנשים יתארסו - ואפילו נשואות:']
1355,Chullin,Zevachim,51b:8,74b:15,['עמדה - אמתניתין קאי שנפלה מן הגג ועמדה ולא הלכה אינה צריכה שהייה מעת לעת:'],['עמדה - על רגליה אינה צריכה מעת לעת אבל בדיקה בעיא ואם הלכה אף בדיקה אינה צריכה:']
1356,Eruvin,Sukkah,37b:19,24a:6,['לכשיבקע - נעיין בדבר לאוסרו כלומר דלא חיישינן להכי דלא שכיח דאי בעי מסר ליה לשומר:'],['לכשיבקע - נבין בדבר כלומר דלא חיישינן לה:']
1357,Menachot,Yevamot,40a:7,20b:16,['לקיים את שניהן - כגון לבן דפשתן בסדין מקיים עשה דציצית וידחה לאו דכלאים:'],"[""לאו מילתא היא דאמרי - דבביאה ראשונה הויא שרי לכתחילה אי לאו משום גזירת ביאה שניה דודאי אפילו ביאה ראשונה אסורה ולא אמרי' תדחה עשה את לא תעשה דהא אפשר להתקיים בחליצה בלא עקירת לא תעשה:""]"
1358,Beitzah,Eruvin,31b:6,34b:15,"['נוטל ממקום הפחת - ולא אמרי\' מוקצין מחמת איסור הן דאין יכול לפחתו ביו""ט ואסח דעתו מינייהו דכיון דלא הוה פחיתתו איסורא דאורייתא כדמוקמינן לה באוירא דלבני לאו מוקצה נינהו כדאמר גבי טבל בשלהי פרקין (דף לד:) שהוא מוכן אצל שבת שאם עבר ותקנו מתוקן:']","['ונפחת - מאיליו אפילו ביום טוב עצמו:', 'נוטל ממקום הפחת - ולא מיתסר משום מוקצה וסתמא כר""ש:', 'אף פוחת לכתחילה - דמוקי לה באוירא דליבני דלאו סתירת אהל היא:']"
1359,Chullin,Yoma,88b:2,42b:5,['לאחר שריבה הכתוב ומיעט - שכתב לך שני מקראות אחד לרבות ואחד למעט אמרת מעתה יש לך לומר כל הנך דלעיל מין עפר נינהו מה עפר מיוחד שמגדל צמחין אף כל שמגדל צמחים וכל הנך קים להו לרבנן שמגדלין צמחין:'],['אחר שריבה הכתוב ומיעט - ולא פירש מאי ריבה ומאי מיעט מעתה לא מסרן אלא להתבונן בה את האמת ואת הישר:']
1360,Kiddushin,Yevamot,68b:3-4,23a:11-12,['כי יסיר את בנך - לעיל מיניה כתיב בתך לא תתן לבנו ובתו לא תקח לבנך וסמיך ליה כי יסיר את בנך מדלא כתיב כי יסיר את בתך משמע דבן הנולד לעובד כוכבים מבתך קאמר שיסירנו העובד כוכבים מאחריו ושמעינן דבן בתך אפילו מן העובד כוכבים קרוי בנך:'],"['כי יסיר את בנך - מדלא כתיב כי תסיר ש""מ הכי קאמר בתך לא תתן לבנו כי יסיר בעל בתך את בנך שתלד לו בתך מאחרי אבל אבתו לא תקח לבנך לא קמהדר ולא קרינן ביה כי תסיר בת העובד כוכבים את בנך שתלד מאחרי. אלמא בנך מן העובד כוכבים שילדה לו בתך קרוי בנך ואין בנך הבא מן העובדת כוכבים קרוי בנך:', 'ש""מ - מדכתיב כי יסיר את בנך ומוקמינן ליה בבן שתלד בתך לעובד כוכבים אלמא בן בתך הבא מן העובד כוכבים קרוי נמי בנך:']"
1361,Berakhot,Sukkah,33b:13,45a:1,['סטיו כפול – אצטבאות זו לפנים מזו בהיקף עגול לישב שם:'],['סטיו כפול - אצטבאות מקיפות אותו ואצטבאות אחרים היקף לפנים מהיקף:']
1362,Pesachim,Yoma,78a:12,4a:2,"['מכל חטאות - מכל אפרי הפרות שהיו במקדש שאפר פרה של משה לא כלתה:', 'כל שבעה - בפ""ק דיומא מפרש טעמא בראשון לפרישתו שמא היום שלישי לטומאתו שמא היום ג\' ימים שניטמא במת וחששא בעלמא היא ומעלה וכן שני שמא שלישי ושלישי שמא שלישי ואינך מספקינן כל חד וחד בז\' לטומאה:']","['זה וזה - כהן דיום הכפורים וכהן דפרה:', 'כל שבעה - ימי דהפרשה:', 'מכל חטאות שהיו שם - מכל פרה ופרה היו נותנין קצת למשמרת מן האפר בחיל כך שנינו במסכת פרה (פ""נ משנה יא) ואני שמעתי אפר פרה של משה לא כלה:']"
1363,Kiddushin,Makkot,25a:20,18b:8,"[""כר' זירא דאמר - במנחות (דף קג:) אין מביאין מנחה של ששים ואחד עשרון בכלי אחד דקים להו לרבנן שאין נבללין יפה בשוין ביחד והוינן בה וכי אין נבללין מאי הוי והא אנן תנן אם לא בלל כשר ואמר רבי זירא עלה כל הראוי לבילה אין בילה מעכבת בו ואפי' לא בלל כשר וכל שאין ראוי לבילה כגון ששים ואחד בילה מעכבת בו דראוי לבילה בעינן:""]","['כדרבי זירא - לעולם בראוין לקרייה לא מעכבא קרייה אבל באלו שעבר זמנן ואינן ראוין עוד לקרייה מעכבא קרייה כדרבי זירא:', ""דאמר כל הראוי לבילה כו' - במסכת מנחות (דף קג:) תנן הרי עלי ששים ואחד עשרון מביא ששים בכלי אחד ואחד בכלי אחר דעד ששים יכולין ליבלל בכלי אחד אבל ששים ואחד קים להו לרבנן דאינן נבללין יפה והוינן בה וכי אינן נבללין מאי הוי והאנן תנן אם לא בלל כשר ומשני רבי זירא כל הראוי לבילה אין בילה מעכבת בו כו':""]"
1364,Chullin,Gittin,86a:8,65a:13,"[""גמ' מאי שנא רישא דלא פליגי - וליחייבו לכסות מספק:""]","[""גמ' מאי שנא רישא דלא פליג רבי אלעזר - גבי תן גט זה לאשתי במקום פלוני וקתני פסול:""]"
1365,Eruvin,Shabbat,102a:2-4,126a:2-3,['נועלין בו במקדש - דשבות בעלמא הוא דאינו בונה ממש הואיל וקשור לכך אלא הואיל ונגרר מיחזי כבונה ואין שבות דרבנן במקדש דלא גזרו שם:'],"['נגר - יתד שתוקעין בחור שבמפתן ונועלין בו את הדלת:', 'נועלין בו במקדש - דכיון דקשור בו מיוחד ועומד לכך וכבר נבנה בנין זה מבעוד יום ואין בו אלא גזירת שבות מדבריהם ואין שבות במקדש:']"
